0 | 1 | 1
1 | 0 2 | 0 2
2 | 1 3 | 1 3
3 | 2 4 | 2 4
4 | 3 5 | 3 5
5 | 4 6 | 4 6
6 | 5 7 | 5 7
7 | 6 8 | 6 8
8 | 7 9 | 7 9
9 | 8 10 | 8 10
10 | 9 11 | 9 11
11 | 10 12 | 10 12
12 | 11 13 | 11 13
13 | 12 14 | 12 14
14 | 13 15 | 13 15
15 | 14 16 | 14 16
16 | 15 17 | 15 17
17 | 16 18 | 16 18
18 | 17 19 | 17 19
19 | 18 20 | 18 20
20 | 19 21 | 19 21
21 | 20 22 | 20 22
22 | 21 23 | 21 23
23 | 22 24 | 22 24
24 | 23 25 | 23 25
25 | 24 26 | 24 26
26 | 25 27 | 25 27
27 | 26 28 | 26 28
28 | 27 29 | 27 29
29 | 28 30 | 28 30
30 | 29 31 | 29 31
31 | 30 32 | 30 32
32 | 31 33 | 31 33
33 | 32 34 | 32 34
34 | 33 35 | 33 35
35 | 34 36 | 34 36
36 | 35 37 | 35 37
37 | 36 38 | 36 38
38 | 37 39 | 37 39
39 | 38 40 | 38 40
40 | 39 41 | 39 41
41 | 40 42 | 40 42
42 | 41 43 | 41 43
43 | 42 44 | 42 44
44 | 43 45 | 43 45
45 | 44 46 | 44 46
46 | 45 47 | 45 47
47 | 46 48 | 46 48
48 | 47 49 | 47 49
49 | 48 50 | 48 50
50 | 49 51 | 49 51
51 | 50 52 | 50 52
52 | 51 53 | 51 53
53 | 52 54 | 52 54
54 | 53 55 | 53 55
55 | 54 56 | 54 56
56 | 55 57 | 55 57
57 | 56 58 | 56 58
58 | 57 59 | 57 59
59 | 58 60 | 58 60
60 | 59 61 | 59 61
61 | 60 62 | 60 62
62 | 61 63 | 61 63
63 | 62 64 | 62 64
64 | 63 65 | 63 65
65 | 64 66 | 64 66
66 | 65 67 | 65 67
67 | 66 68 | 66 68
68 | 67 69 | 67 69
69 | 68 70 | 68 70
70 | 69 71 | 69 71
71 | 70 72 | 70 72
72 | 71 73 | 71 73
73 | 72 74 | 72 74
74 | 73 75 | 73 75
75 | 74 76 | 74 76
76 | 75 77 | 75 77
77 | 76 78 | 76 78
78 | 77 79 | 77 79
79 | 78 80 | 78 80
80 | 79 81 | 79 81
81 | 80 82 | 80 82
82 | 81 83 | 81 83
83 | 82 84 | 82 84
84 | 83 85 | 83 85
85 | 84 86 | 84 86
86 | 85 87 | 85 87
87 | 86 88 | 86 88
88 | 87 89 | 87 89
89 | 88 90 | 88 90
90 | 89 91 | 89 91
91 | 90 92 | 90 92
92 | 91 93 | 91 93
93 | 92 94 | 92 94
94 | 93 95 | 93 95
95 | 94 96 | 94 96
96 | 95 97 | 95 97
97 | 96 98 | 96 98
98 | 97 99 | 97 99
99 | 98 100 | 98 100
100 | 99 | 99
